"#","Time, GMT-04:00","Pressure, inHg, Charles River Weather Station","PAR, uE, Charles River Weather Station","Rain, in, Charles River Weather Station","RH, %, Charles River Weather Station","Wind Speed, mph, Charles River Weather Station","Gust Speed, mph, Charles River Weather Station","DewPt, *F, Charles River Weather Station","Wind Dir, *, Charles River Weather Station","Water Temp, *F, Charles River Weather Station","Temp, *F, Charles River Weather Station Air Temp","Temp, *F, Charles River Weather Station","Air Temp, *F, Charles River Weather Station","Temp, *F, Charles River Weather Station","Water Temp, *F, Charles River Weather Station"
1,05/01/18 00:00:00,29.966,1.0,0.0,90.7,0.0,0.0,43.17,0.0,,,,45.71,,-119.21000000000001
2,05/01/18 00:10:00,29.966,1.0,0.0,90.2,0.0,0.0,43.42,340.0,,,,46.12,,-119.21000000000001
3,05/01/18 00:20:00,29.963,1.0,0.0,90.0,0.0,0.0,43.050000000000004,307.0,,,,45.81,,-119.21000000000001
4,05/01/18 00:30:00,29.966,1.0,0.0,90.60000000000001,0.0,0.0,43.410000000000004,288.0,,,,45.99,,-119.21000000000001
5,05/01/18 00:40:00,29.963,1.0,0.0,90.4,0.0,0.0,43.35,292.0,,,,45.99,,-119.21000000000001
6,05/01/18 00:50:00,29.96,1.0,0.0,90.3,0.0,0.0,43.45,295.0,,,,46.12,,-119.21000000000001
7,05/01/18 01:00:00,29.957,1.0,0.0,90.7,0.0,0.0,44.1,296.0,,,,46.660000000000004,,-119.21000000000001
8,05/01/18 01:10:00,29.954,1.0,0.0,90.4,0.0,0.0,43.480000000000004,326.0,,,,46.12,,-119.21000000000001
9,05/01/18 01:20:00,29.957,1.0,0.0,91.2,0.0,0.0,43.4,1.0,,,,45.81,,-119.21000000000001
10,05/01/18 01:30:00,29.954,1.0,0.0,90.60000000000001,0.0,0.0,43.230000000000004,348.0,,,,45.81,,-119.21000000000001
11,05/01/18 01:40:00,29.954,1.0,0.0,90.9,0.0,0.0,43.27,345.0,,,,45.76,,-119.21000000000001
12,05/01/18 01:50:00,29.951,1.0,0.0,91.3,0.0,0.0,43.29,0.0,,,,45.67,,-119.21000000000001
13,05/01/18 02:00:00,29.954,1.0,0.0,91.2,0.0,0.0,43.71,344.0,,,,46.12,,-119.21000000000001
14,05/01/18 02:10:00,29.951,1.0,0.0,91.4,0.0,0.0,43.77,1.0,,,,46.12,,-119.21000000000001
15,05/01/18 02:20:00,29.951,1.0,0.0,90.4,0.0,0.0,43.08,3.0,,,,45.71,,-119.21000000000001
