"#","Time, GMT-04:00","Pressure, inHg, Charles River Weather Station","PAR, uE, Charles River Weather Station","Rain, in, Charles River Weather Station","RH, %, Charles River Weather Station","Wind Speed, mph, Charles River Weather Station","Gust Speed, mph, Charles River Weather Station","DewPt, *F, Charles River Weather Station","Wind Dir, *, Charles River Weather Station","Water Temp, *F, Charles River Weather Station","Temp, *F, Charles River Weather Station Air Temp"
1,05/01/19 00:00:00,30.391000000000002,1.0,0.0,73.2,0.0,0.0,39.51,261.0,43.9,47.65
2,05/01/19 00:10:00,30.394000000000002,1.0,0.0,74.2,0.0,0.0,39.6,263.0,43.26,47.38
3,05/01/19 00:20:00,30.388,1.0,0.0,75.4,0.0,0.0,40.27,251.0,43.53,47.65
4,05/01/19 00:30:00,30.400000000000002,1.0,0.0,74.7,0.0,0.0,39.77,263.0,43.94,47.38
5,05/01/19 00:40:00,30.403000000000002,1.0,0.0,76.3,0.0,0.0,40.1,270.0,44.58,47.15
6,05/01/19 00:50:00,30.400000000000002,1.0,0.0,77.2,0.0,0.0,40.4,265.0,44.63,47.15
7,05/01/19 01:00:00,30.409,1.0,0.0,77.10000000000001,0.0,0.0,39.76,256.0,43.26,46.53
8,05/01/19 01:10:00,30.400000000000002,1.0,0.0,78.2,0.0,0.0,40.34,258.0,43.67,46.75
9,05/01/19 01:20:00,30.411,1.0,0.0,78.10000000000001,0.0,0.0,40.22,263.0,43.17,46.660000000000004
10,05/01/19 01:30:00,30.411,1.0,0.0,77.4,0.0,0.0,40.6,271.0,42.85,47.29
11,05/01/19 01:40:00,30.417,1.0,0.0,77.9,0.0,0.0,40.42,271.0,43.44,46.93
12,05/01/19 01:50:00,30.417,1.0,0.0,78.5,0.0,0.0,39.96,256.0,42.980000000000004,46.26
13,05/01/19 02:00:00,30.42,1.0,0.0,79.4,0.0,0.0,39.72,261.0,44.13,45.71
14,05/01/19 02:10:00,30.423000000000002,1.0,0.0,80.60000000000001,0.0,0.0,40.51,263.0,44.4,46.12
15,05/01/19 02:20:00,30.423000000000002,1.0,0.0,79.7,0.0,0.0,40.08,264.0,44.45,45.99
16,05/01/19 02:30:00,30.429000000000002,1.0,0.0,80.10000000000001,0.0,0.0,40.17,256.0,44.54,45.94
17,05/01/19 02:40:00,30.426000000000002,1.0,0.0,80.3,0.0,0.0,40.32,247.0,44.26,46.03
18,05/01/19 02:50:00,30.423000000000002,1.0,0.0,79.7,0.0,0.0,39.95,250.0,43.99,45.85
19,05/01/19 03:00:00,30.417,1.0,0.0,79.8,0.0,0.0,40.25,248.0,44.04,46.12
20,05/01/19 03:10:00,30.423000000000002,1.0,0.0,79.9,0.0,0.0,40.68,248.0,43.99,46.53
21,05/01/19 03:20:00,30.438000000000002,1.0,0.0,79.10000000000001,0.0,0.0,40.77,265.0,44.81,46.89
22,05/01/19 03:30:00,30.447,1.0,0.0,77.60000000000001,0.0,0.0,40.53,279.0,44.95,47.15
23,05/01/19 03:40:00,30.441,1.0,0.0,77.10000000000001,0.0,0.0,40.15,286.0,44.81,46.93
24,05/01/19 03:50:00,30.441,1.0,0.0,78.2,0.0,0.0,40.12,260.0,44.54,46.53
25,05/01/19 04:00:00,30.438000000000002,1.0,0.0,78.60000000000001,0.0,0.0,39.95,243.0,44.26,46.21
26,05/01/19 04:10:00,30.435000000000002,1.0,0.0,78.4,0.0,0.0,40.230000000000004,243.0,44.08,46.57
27,05/01/19 04:20:00,30.432000000000002,1.0,0.0,77.9,0.0,0.0,40.5,256.0,44.54,47.02
28,05/01/19 04:30:00,30.435000000000002,1.0,0.0,77.0,0.0,0.0,40.64,260.0,45.4,47.47
29,05/01/19 04:40:00,30.432000000000002,1.0,0.0,75.8,0.0,0.0,40.02,265.0,45.4,47.24
30,05/01/19 04:50:00,30.435000000000002,1.0,0.0,75.4,0.0,0.0,39.62,258.0,45.08,46.980000000000004
31,05/01/19 05:00:00,30.432000000000002,1.0,0.0,75.4,0.0,0.0,39.92,256.0,45.26,47.29
32,05/01/19 05:10:00,30.432000000000002,1.0,0.0,75.3,0.0,0.0,39.63,260.0,44.85,47.02
33,05/01/19 05:20:00,30.423000000000002,1.0,0.0,75.3,0.0,0.0,40.11,256.0,44.9,47.51
34,05/01/19 05:30:00,30.426000000000002,1.0,0.0,73.7,0.0,0.0,39.51,263.0,45.49,47.47
35,05/01/19 05:40:00,30.426000000000002,1.0,0.0,74.4,0.0,0.0,39.15,247.0,45.17,46.84
36,05/01/19 05:50:00,30.426000000000002,4.0,0.0,74.7,0.0,0.0,39.81,253.0,45.35,47.42
37,05/01/19 06:00:00,30.429000000000002,14.0,0.0,74.4,0.0,0.0,39.88,260.0,45.22,47.6
38,05/01/19 06:10:00,30.432000000000002,31.0,0.0,74.7,0.0,0.0,40.07,250.0,45.71,47.69
39,05/01/19 06:20:00,30.438000000000002,89.0,0.0,75.10000000000001,0.0,0.0,40.25,247.0,46.53,47.74
40,05/01/19 06:30:00,30.435000000000002,56.0,0.0,74.2,0.0,0.0,40.12,247.0,46.800000000000004,47.910000000000004
41,05/01/19 06:40:00,30.447,104.0,0.0,73.4,0.0,0.0,40.050000000000004,247.0,47.29,48.14
42,05/01/19 06:50:00,30.465,64.0,0.0,73.9,0.0,0.0,40.14,257.0,47.42,48.050000000000004
43,05/01/19 07:00:00,30.462,119.0,0.0,73.9,0.0,0.0,39.800000000000004,260.0,47.56,47.69
44,05/01/19 07:10:00,30.468,134.0,0.0,74.3,0.0,0.0,40.24,258.0,48.14,48.0
45,05/01/19 07:20:00,30.473,116.0,0.0,72.2,0.0,0.0,39.59,256.0,48.230000000000004,48.09
46,05/01/19 07:30:00,30.479,164.0,0.0,71.2,0.0,0.0,39.44,267.0,48.49,48.32
47,05/01/19 07:40:00,30.476,141.0,0.0,69.0,0.0,0.0,39.07,265.0,49.21,48.76
48,05/01/19 07:50:00,30.468,284.0,0.0,67.4,0.0,0.0,38.38,272.0,50.27,48.67
49,05/01/19 08:00:00,30.471,259.0,0.0,65.7,0.0,0.0,37.99,282.0,51.06,48.94
50,05/01/19 08:10:00,30.471,164.0,0.0,66.3,0.0,0.0,38.6,291.0,51.370000000000005,49.34
51,05/01/19 08:20:00,30.479,151.0,0.0,68.2,0.0,0.0,38.980000000000004,257.0,49.47,48.980000000000004
52,05/01/19 08:30:00,30.476,159.0,0.0,69.10000000000001,0.0,0.0,39.36,247.0,48.980000000000004,49.03
53,05/01/19 08:40:00,30.476,176.0,0.0,70.3,0.0,0.0,39.800000000000004,247.0,48.050000000000004,49.03
54,05/01/19 08:50:00,30.479,164.0,0.0,70.60000000000001,0.0,0.0,39.910000000000004,248.0,48.050000000000004,49.03
55,05/01/19 09:00:00,30.476,169.0,0.0,69.2,0.0,0.0,39.57,248.0,48.32,49.21
56,05/01/19 09:10:00,30.479,199.0,0.0,68.7,0.0,0.0,39.59,248.0,49.47,49.43
57,05/01/19 09:20:00,30.473,301.0,0.0,68.5,0.0,0.0,39.77,248.0,52.120000000000005,49.69
58,05/01/19 09:30:00,30.473,369.0,0.0,63.5,0.0,0.0,38.34,257.0,55.34,50.22
59,05/01/19 09:40:00,30.488,471.0,0.0,63.1,0.0,0.0,38.64,295.0,55.730000000000004,50.71
60,05/01/19 09:50:00,30.479,331.0,0.0,60.800000000000004,0.0,0.0,37.32,350.0,53.69,50.31
61,05/01/19 10:00:00,30.476,314.0,0.0,60.4,0.0,0.0,37.230000000000004,7.0,52.51,50.4
62,05/01/19 10:10:00,30.471,224.0,0.0,58.9,0.0,0.0,36.84,337.0,53.34,50.660000000000004
63,05/01/19 10:20:00,30.473,209.0,0.0,59.0,0.0,0.0,36.89,331.0,51.76,50.660000000000004
64,05/01/19 10:30:00,30.473,249.0,0.0,59.0,0.0,0.0,37.18,331.0,53.65,50.97
65,05/01/19 10:40:00,30.471,171.0,0.0,57.9,0.0,0.0,36.660000000000004,331.0,52.120000000000005,50.93
66,05/01/19 10:50:00,30.473,194.0,0.0,57.0,0.0,0.0,36.39,344.0,52.730000000000004,51.06
67,05/01/19 11:00:00,30.473,286.0,0.0,58.0,0.0,0.0,37.160000000000004,347.0,54.86,51.410000000000004
68,05/01/19 11:10:00,30.471,451.0,0.0,60.5,0.0,0.0,38.4,324.0,58.07,51.59
69,05/01/19 11:20:00,30.471,449.0,0.0,58.2,0.0,0.0,37.660000000000004,324.0,58.97,51.85
70,05/01/19 11:30:00,30.459,514.0,0.0,58.2,0.0,0.0,37.86,324.0,61.03,52.07
71,05/01/19 11:40:00,30.459,554.0,0.0,57.800000000000004,0.0,0.0,38.1,324.0,61.93,52.51
72,05/01/19 11:50:00,30.453,486.0,0.0,55.7,0.0,0.0,36.83,354.0,57.68,52.160000000000004
73,05/01/19 12:00:00,30.444,439.0,0.0,55.6,0.0,0.0,36.910000000000004,1.0,58.02,52.29
74,05/01/19 12:10:00,30.447,881.0,0.0,58.0,0.0,0.0,37.980000000000004,11.0,61.38,52.29
75,05/01/19 12:20:00,30.435000000000002,984.0,0.0,57.2,0.0,0.0,38.2,44.0,62.32,52.9
76,05/01/19 12:30:00,30.441,661.0,0.0,57.2,0.0,0.0,38.57,88.0,63.39,53.300000000000004
77,05/01/19 12:40:00,30.432000000000002,669.0,0.0,59.2,0.0,0.0,39.980000000000004,84.0,64.29,53.86
78,05/01/19 12:50:00,30.432000000000002,571.0,0.0,54.0,0.0,0.0,36.53,93.0,59.79,52.68
79,05/01/19 13:00:00,30.426000000000002,556.0,0.0,53.0,0.0,0.0,35.980000000000004,72.0,58.63,52.6
